Segundo cuatrimestre | Primer curso | Grupo 1ºF | Ingeniería, Empresa y Sociedad (IES) — Teoría (aula 0.5): Miércoles 17:30-19:30, Viernes 17:30-19:30.
Segundo cuatrimestre | Primer curso | Grupo 1ºF | Lógica y Métodos Discretos (LMD) — Teoría (aula 0.5): Martes 15:30-16:30, Miércoles 15:30-17:30 Prácticas: subgrupo F1 Viernes 16:30-17:30 (aula 1.8); subgrupo F2 Lunes 15:30-16:30 (aula 1.8).
Segundo cuatrimestre | Primer curso | Grupo 1ºF | Metodología de la Programación (MP) — Teoría (aula 0.5): Lunes 18:30-19:30, Martes 16:30-17:30 Prácticas: subgrupo F1 Lunes 15:30-17:30 (aula 2.1); subgrupo F2 Jueves 15:30-17:30 (aula 2.1).
Segundo cuatrimestre | Primer curso | Grupo 1ºF | Tecnología y Organización de los Computadores (TOC) — Teoría (aula 0.5): Jueves 17:30-19:30 Prácticas: subgrupo F1 Jueves 15:30-17:30 (aula 3.8); subgrupo F2 Viernes 15:30-17:30 (aula 3.8).
Segundo cuatrimestre | Primer curso | Grupo 1ºF | Asignaturas: Estadística (ES), Ingeniería, Empresa y Sociedad (IES), Lógica y Métodos Discretos (LMD), Metodología de la Programación (MP), Tecnología y Organización de los Computadores (TOC).
Primer cuatrimestre | Segundo curso | Grupo 2ºA | Estructura de computadores (EC) — Teoría (aula 0.2): Miércoles 11:30-13:30 Prácticas: subgrupo A1 Viernes 10:30-11:30 (aula 2.9), Viernes 9:30-10:30 (aula 2.9); subgrupo A2 Lunes 10:30-11:30 (aula 2.9), Lunes 9:30-10:30 (aula 2.9); subgrupo A3 Jueves 10:30-11:30 (aula 2.9), Jueves 9:30-10:30 (aula 2.9).
Primer cuatrimestre | Segundo curso | Grupo 2ºA | Estructura de Datos (ED) — Teoría (aula 0.2): Viernes 11:30-13:30 Prácticas: subgrupo A1 Lunes 10:30-11:30 (aula 2.4); subgrupo A2 Viernes 10:30-11:30 (aula 2.2); subgrupo A3 Martes 10:30-11:30 (aula 2.6).
Primer cuatrimestre | Segundo curso | Grupo 2ºA | Programación y Diseño Orientado a Objetos (PDOO) — Teoría (aula 0.2): Lunes 11:30-13:30 Prácticas: subgrupo A1 Martes 10:30-11:30 (aula 2.4), Martes 9:30-10:30 (aula 2.4); subgrupo A2 Miércoles 10:30-11:30 (aula 2.4), Miércoles 9:30-10:30 (aula 2.4); subgrupo A3 Viernes 10:30-11:30 (aula 2.8), Viernes 9:30-10:30 (aula 2.8).
Primer cuatrimestre | Segundo curso | Grupo 2ºA | Sistemas Concurrentes y Distribuidos (SCD) — Teoría (aula 0.2): Martes 11:30-13:30 Prácticas: subgrupo A1 Miércoles 10:30-11:30 (aula 2.1), Miércoles 9:30-10:30 (aula 2.1); subgrupo A2 Jueves 10:30-11:30 (aula 2.1), Jueves 9:30-10:30 (aula 2.1); subgrupo A3 Lunes 10:30-11:30 (aula 3.5), Lunes 9:30-10:30 (aula 3.5).
Primer cuatrimestre | Segundo curso | Grupo 2ºA | Sistemas Operativos (SO) — Teoría (aula 0.2): Jueves 11:30-13:30 Prácticas: subgrupo A1 Jueves 10:30-11:30 (aula 3.1), Jueves 9:30-10:30 (aula 3.1); subgrupo A2 Martes 10:30-11:30 (aula 2.8), Martes 9:30-10:30 (aula 2.8); subgrupo A3 Miércoles 10:30-11:30 (aula 2.3), Miércoles 9:30-10:30 (aula 2.3).
